Store ID,Store GPS,Zone
30850,"-26.2414218,27.9184925",
30854,"-26.243737,27.930167",
30861,"-26.0222627,28.1969203",
30867,"-26.2372087,27.8945991",
30907,"-26.0167254,28.2119084",
30913,"-26.0398979,28.1851059",
30918,"-26.2559606,27.8312743",
30921,"-26.0181821,28.2124732",
30926,"-26.0398982,28.1851056",
30927,"-26.0187139,28.2121148",
30935,"-26.2285677,27.9313217",
30941,"-26.0182574,28.1870493",
30944,"-26.0104219,28.2097151",
30952,"-26.0282697,28.2032283",
30955,"-26.0132946,28.1801028",
30959,"-26.0290315,28.2097151",
30990,"-25.9722042,28.1187553",
31006,"-26.031369,28.161821",
31106,"-26.2411989,27.9434077",
31115,"-25.9817697,28.2236056",
31136,"-26.0270012,28.2128067",
31139,"-26.028269,28.2032281",
31145,"-26.0222936,28.2111773",
31148,"-26.0069334,28.2214124",
31153,"-26.0433178,28.2221435",
31162,"-26.0262563,28.2020383",
31165,"-25.9282432,28.0062095",
31170,"-25.995776,28.2133706",
31179,"-25.9817697,28.2236056",
31207,"-26.0157801,28.197443",
31209,"-26.0157733,28.1974222",
31260,"-26.0230283,28.212609",
31263,"-26.011129,28.1956956",
31248,"-25.9909621,28.2113917",
31227,"-25.993193,28.2187837",
31240,"-25.9937125,28.2178496",
31245,"-26.0246142,28.1789156",
31253,"-26.2428831,27.9330925",
31257,"-26.2425086,27.9149044",
31278,"-25.9813356,28.2228905",
31285,"-26.026895,28.2086185",
31289,"-26.2593134,27.9380105",
31292,"-26.235395,27.9260494",
31294,"-26.0238811,28.1764466",
31299,"-26.2457049,27.9248043",
31318,"-25.995195,28.2097151",
31310,"-26.0283839,28.2111773",
31314,"-25.99691,28.2103849",
31330,"-26.043035,28.1834233",
31348,"-26.2185042,27.8727169",
31356,"-25.9882582,28.2393224",
31368,"-25.995776,28.2133706",
31369,"-26.019003,28.176707",
31374,"-25.9795663,28.2276263",
31412,"-26.23309,27.936394",
31402,"-26.0210975,28.2007129",
31405,"-26.0055158,28.1928989",
31410,"-26.005538,28.2024039",
32036,"-26.0148875,28.2045973",
31420,"-25.9883779,28.1968624",
31424,"-25.9870329,28.2035006",
31428,"-26.0194816,28.1764466",
31433,"-26.0164714,28.1698652",
31438,"-26.0140473,28.1733981",
31460,"-26.2195208,27.8727169",
31464,"-26.2211081,27.8634556",
31470,"-26.2205256,27.8566012",
31551,"-25.9863892,28.2089919",
31549,"-25.9877799,28.2111773",
31555,"-25.9863084,28.2053284",
31560,"-25.9812471,28.2054434",
31565,"-26.0433178,28.2221435",
31601,"-26.0002324,28.1942218",
31572,"-25.9909393,28.2042317",
31592,"-26.2352383,27.9070376",
31607,"-26.0030174,28.2099127",
31609,"-26.0019459,28.1778466",
31617,"-26.2387738,27.9214217",
31631,"-26.0093928,28.1921677",
31625,"-25.9830084,28.2305504",
31635,"-26.0088999,28.1928989",
31645,"-25.9943364,28.1881461",
31639,"-26.2386507,27.9236186",
31676,"-26.2217686,27.8893752",
31678,"-25.9301823,28.0040971",
31748,"-26.0222936,28.2111773",
31752,"-26.0222936,28.2111773",
31765,"-26.0000096,28.2093496",
31827,"-26.2739109,27.8430025",
31846,"-25.996692,28.2042317",
31852,"-26.0200522,28.2262273",
31862,"-26.0181354,28.2020383",
31867,"-26.001102,28.208984",
31872,"-25.9871141,28.2159294",
31877,"-26.00496,28.2115429",
31892,"-25.9846204,28.2181226",
31897,"-26.0279878,28.203431",
31900,"-26.0062946,28.2148328",
31906,"-25.9592648,28.2067907",
31911,"-26.2236235,27.8822392",
31918,"-26.2873399,27.8514732",
31924,"-25.9860472,28.2049629",
31922,"-25.9811702,28.2232401",
31968,"-26.0166481,28.212274",
32002,"-25.9865105,28.2027695",
32040,"-26.0063766,28.19363",
32048,"-26.0000831,28.1961891",
32046,"-26.0045118,28.1976514",
32052,"-26.2247033,27.9417833",
32056,"-26.2230383,27.9303367",
32059,"-26.0000831,28.1961891",
32065,"-26.0000831,28.1961891",
32201,"-25.9365159,28.0056169",
32235,"-26.0298152,28.2021323",
32250,"-25.9802364,28.2108083",
32270,"-25.9758824,28.2215419",
32276,"-25.9364428,28.0117405",
32301,"-26.0317575,28.2064251",
32302,"-25.9860472,28.2049629",
32308,"-25.9721604,28.2002105",
32314,"-25.9855951,28.2119084",
32318,"-25.9943364,28.1881461",
32344,"-26.0131447,28.19363",
32350,"-26.0092151,28.2298194",
32349,"-26.1066818,28.224055",
32361,"-26.0175283,28.222509",
