Account,Acc Name,Del Name,Delivery Add1,Delivery Add2,Delivery Add3,Postal Code
TA1015264,GEOSYSTEMS (PTY) LTD,GEOSYSTEMS (PTY) LTD,201 GLENRANT BUILDING,62 GLENWOOD RD,LYNNWOODGLEN,'0040
TA1015269,COMPUTER INITIATIVES (PTY) LTD,COMPUTER INITIATIVES (PTY) LTD,5TH FLOOR  HELVETIA HOUSE,GREENVALE ROAD,WILBART GERMISTON,'2008
TA1015271,COMPURITE LOWVELD,COMPURITE LOWVELD,15 PALM STREET,WHITE RIVER , 1240 MPUMALANGA,'2140
TA1015283,PRODUCTION & TRAINING CONSULTANTS CC,PRODUCTION & TRAINING CONSULTANTS CC,BALETA GARDENS UNIT 20,BOSKRUIN,BOSKRUIN,'2155
TA1015284,MPU COPIERS (PTY) LTD,MPU COPIERS (PTY) LTD,22 AMATOLA STREET,IRENE ,CENTURION,'1200
TA1015285,INCOM MANAGEMENT SERV & TRAINING cc,INCOM MANAGEMENT SERV & TRAINING cc,32 HOMESTEAD AVE,BRYANSTON,BRYANSTON,'2021
TA1015288,ARRAN SYSTEMS,ARRAN SYSTEMS,OREPORT BUILDING UNIT 4,HARROWDENE O/PARK  WESTERN SVC,SANDTON  JHB,'2153
TA1015289,BARMAZEL INTERNATIONAL T/A TELEPHONY,BARMAZEL INTERNATIONAL T/A TELEPHONY,PODIUM 4  GROUND FLOOR,CNR ATTERBURY & LOIS AVENUE,MENLYN  PTA,'0063
TA1015298,ASTECH,ASTECH,11 TENNYSON AVENUE,SENDERWOOD,BEDFORDVIEW,'2131
TA1015305,MAKRO,MAKRO,CONSOLIDATED ACCOUNT,SUNNINGHILL,,'2156
TA1015331,V H HOLDINGS CC,V H HOLDINGS CC,46 KOORNHOF ROAD,MEADOWDALE,JOHANNESBURG,'2047
TA1015338,TOTAL COMPUTER SERVICES (PTY) LTD,TOTAL COMPUTER SERVICES (PTY) LTD,263 ROSE AVENUE BUSHWILLOW BULDING,3 RIVER FALLS OFFICE PARK,DOORINGKLOOF,'0153
TA1015345,DRAWING & OFFICE EQUIPMENT,DRAWING & OFFICE EQUIPMENT,87 SIDDLE STREET,KLERKSDORP,JHB,'2570
TA1015349,M L C COMPUTER BROKERS CC ,M L C COMPUTER BROKERS CC ,UNIT 80 DESIGN BOULEVARD NORTHLANDS DECO PARK,10 NEWMARKET ROAD NORTHRIDING,JOHANNESBURG NORTH ,'2188
