ACC#,CUSTOMER NAME,SEQ
MAR383,Martin Engelbrecht Architects,50,RANDBURG FINAL ROUTE,-26.1097914378341,28.0002424120903
HTA002,Hta,51,RANDBURG FINAL ROUTE,-26.105188711436,28.00189062953
VID169,Multi-Choice vida,52,RANDBURG FINAL ROUTE,-26.1025079191597,28.0005776882172
SER118,SERVEST HONEYDEW,53,RANDBURG FINAL ROUTE,-26.0737810212952,27.931752204895
NYA019,Nyami Nyami IR,54,RANDBURG FINAL ROUTE,-26.1103562287745,28.0045473575592
ORY003,Oryana,55,RANDBURG FINAL ROUTE,-26.1249073852673,28.0021494626999
REE234,Ekklesia Park,56,RANDBURG FINAL ROUTE,-26.1156872872785,28.0094933509827
PAT056,Patisserie De Paris,57,RANDBURG FINAL ROUTE,-26.1130452706034,28.0141228437424
CAL037,Caltex Waterfall,58,RANDBURG FINAL ROUTE,-26.1110607083192,28.0184143781662
BRO081,Browns The Diamond Store Head Office ,59,RANDBURG FINAL ROUTE,-26.1129128069373,28.0186611413956
GOU013,Hackle Brook /Basfour  2848 (PTY)LTD,60,RANDBURG FINAL ROUTE,-26.1156632035311,28.0205816030502
VIC077,Craig Park Centre,61,RANDBURG FINAL ROUTE,-26.1172382701577,28.0229473114014
HOD005,The Colony Shopping Centre,62,RANDBURG FINAL ROUTE,-26.1231963576769,28.0288481712341
MOT051,Motherland Coffee Hyde Park Lane,63,RANDBURG FINAL ROUTE,-26.1224979718673,28.030811548233
ae8cfe9b-0d3a-4691-9bb1-1781ec7ac9fe,Hyde Park Corner Mall,64,RANDBURG FINAL ROUTE,-26.1238851064901,28.0327534675598
EAT081,E-TV - Eatfresh ,65,RANDBURG FINAL ROUTE,-26.1289258534472,28.0328140854181
MOT047,Dunkeld Shopping Centre,66,RANDBURG FINAL ROUTE,-26.1311007126567,28.0353135814682
REF006,Reflex Solutions,67,RANDBURG FINAL ROUTE,-26.1338907719639,28.0352962017059
FED4278,St Mary's Community,68,RANDBURG FINAL ROUTE,-26.1314610754397,28.0431604385376
33M001,33 Melville Road,69,RANDBURG FINAL ROUTE,-26.1287881100708,28.0445551872253
SUM016,Summer Place,70,RANDBURG FINAL ROUTE,-26.121151761235,28.045746088028
